Var1	A
0	0.0992968481229733
10	0.0994569882098221
20	0.0996159394069244
30	0.099773597946788
40	0.0999298839670692
50	0.100084704122803
60	0.100237976800438
70	0.100389594186494
80	0.100539472908052
90	0.10068750325592
100	0.100833625840443
110	0.10097772947734
120	0.101117422257118
130	0.101254405128412
140	0.10138911784756
150	0.101521486149197
160	0.101651409503816
170	0.101778786782515
180	0.101903542654648
190	0.10202557526862
200	0.102144795608743
210	0.102261127621002
220	0.102374455571146
230	0.102484716304262
240	0.102591807071641
250	0.102695638246181
260	0.102795024910773
270	0.102890111658593
280	0.102981769979661
290	0.103069898350333
300	0.103154422253042
310	0.103235281118127
320	0.103312387821683
330	0.103385669222144
340	0.103455052680772
350	0.103520466189617
360	0.103581851988453
370	0.103639139476538
380	0.10369227251254
390	0.103741168502467
400	0.1037857866355
410	0.103826073554351
420	0.103861976905433
430	0.103893418080892
440	0.103920387948759
450	0.103942810280581
460	0.103960664766141
470	0.103973891312956
480	0.103982472312593
490	0.103986364050957
500	0.103985524278722
510	0.103979939584102
520	0.10396959800668
530	0.103954447940879
540	0.10393449413026
550	0.103909701778912
560	0.103880078593718
570	0.103845606548765
580	0.103806282802078
590	0.103762106012282
600	0.103713090042009
610	0.103659209345728
620	0.103600508055018
630	0.103536977302412
640	0.103468650411858
650	0.103395521487002
660	0.103317640252567
670	0.103235017147574
680	0.103147690996857
690	0.10305568840675
700	0.10295906414658
710	0.102857833888383
720	0.102752054689694
730	0.102640372926959
740	0.102523283268561
750	0.102401714957843
760	0.102275717210102
770	0.102145353393041
780	0.102010687777847
790	0.101871785368848
800	0.101728724984277
810	0.101581559969214
820	0.101430370461063
830	0.101275237027345
840	0.101116240630056
850	0.100953359840954
860	0.10078350459305
870	0.100609980064342
880	0.100432844427698
890	0.100252219690219
900	0.100068164322043
910	0.0998807873526008
920	0.0996901849283058
930	0.0994964527860244
940	0.0992996739794131
950	0.0990969854487876
960	0.0988901418777843
970	0.0986805018243239
980	0.0984681968437517
990	0.0982532965392411
1000	0.0980359305363068
1010	0.0978161908819567
1020	0.0975941807595521
1030	0.0973662681762563
1040	0.0971353716312852
1050	0.0969024976967127
1060	0.0966677810816945
1070	0.0964313080648186
1080	0.0961931984105991
1090	0.0959535470802133
1100	0.0957088531500279
1110	0.0954615505996939
1120	0.0952130386112831
1130	0.0949634179494158
1140	0.094712809838766
1150	0.0944613111848606
1160	0.0942079374567753
1170	0.0939495931125108
1180	0.0936906923668668
1190	0.093431325252137
1200	0.0931716228980383
1210	0.0929116602587962
1220	0.0926514151972179
1230	0.0923858244216424
1240	0.0921202984549125
1250	0.0918549466868136
1260	0.0915898551735659
1270	0.0913251285101234
1280	0.091060398911073
1290	0.0907910977094151
1300	0.0905224725950284
1310	0.090254608521332
1320	0.0899875882058023
1330	0.0897215020032405
1340	0.089454818413313
1350	0.0891853935628315
1360	0.088917183833469
1370	0.0886502893615782
1380	0.0883847691939324
1390	0.0881207091727171
1400	0.0878549408126298
1410	0.0875885655935118
1420	0.0873239297241235
1430	0.0870610721977352
1440	0.0868000857453959
1450	0.0865410148223841
1460	0.0862788616550715
1470	0.0860183089890749
1480	0.0857599410984934
1490	0.0855037943103016
1500	0.0852499213841134
1510	0.0849973409033422
1520	0.0847429072616677
1530	0.0844909742696613
1540	0.0842415953309375
1550	0.0839948137269959
1560	0.083750662824621
1570	0.0835072412177943
1580	0.0832635321045662
1590	0.0830226523332881
1600	0.0827846371093378
1610	0.0825495205157307
1620	0.0823173273716455
1630	0.082086035711255
1640	0.0818549199035568
1650	0.0816269056235794
1660	0.0814020202417598
1670	0.0811802666885943
1680	0.0809616790542383
1690	0.0807453634081559
1700	0.0805285734174333
1710	0.0803150860364437
1720	0.0801049231725206
1730	0.0798980986150156
1740	0.0796946182472475
1750	0.0794944879091553
1760	0.079295216255037
1770	0.079097757978625
1780	0.0789037632490627
1790	0.0787132502764515
1800	0.0785262151030573
1810	0.0783426686130595
1820	0.0781626071754223
1830	0.0779842424476295
1840	0.0778073911414701
1850	0.077634131836412
1860	0.0774644456148605
1870	0.0772983424553175
1880	0.0771358114669778
1890	0.0769768493646825
1900	0.0768214533254783
1910	0.0766680702119435
1920	0.076516636327801
1930	0.076368838724098
1940	0.0762246682324574
1950	0.0760841163647888
1960	0.0759471754576633
1970	0.0758138318283698
1980	0.0756840727215798
1990	0.0755578862919426
2000	0.0754351948424934
2010	0.0753138288771969
2020	0.0751960746654866
2030	0.0750819160072436
2040	0.0749713378197772
2050	0.0748643325700338
2060	0.0747608740255202
2070	0.0746609437197218
2080	0.0745645307200817
2090	0.0744716121437674
2100	0.0743821791225743
2110	0.0742961980284404
2120	0.0742136685362258
2130	0.0741339181457539
2140	0.0740561792703771
