Var1	A_movmean
0	0.10256057154082
10	0.102579465286742
20	0.102596880513499
30	0.102612811109397
40	0.102627251206162
50	0.102640195809327
60	0.102651640137777
70	0.102661580437997
80	0.102670013330785
90	0.102676936195511
100	0.102682346941386
110	0.102686244366811
120	0.102688627554611
130	0.102689496419475
140	0.102688832588495
150	0.102686625264229
160	0.102682876444408
170	0.102677588662144
180	0.102670765133053
190	0.102662409723494
200	0.102652526919061
210	0.102641121956903
220	0.102628200469248
230	0.102613768782403
240	0.102597833880557
250	0.102580403371727
260	0.102561484260904
270	0.102541047712998
280	0.102519103762445
290	0.102495662646324
300	0.102470735502368
310	0.102444333621265
320	0.10241646898791
330	0.102387154105549
340	0.102356401963852
350	0.102324225879805
360	0.102290608791982
370	0.102255552432042
380	0.1022190723238
390	0.102181184692688
400	0.102141905811154
410	0.102101252590611
420	0.102059242181702
430	0.102015892070808
440	0.101971184148745
450	0.101925128791435
460	0.101877745479221
470	0.101829054223169
480	0.101779075092074
490	0.101727828517014
500	0.101675335049407
510	0.101621582960223
520	0.10156658267129
530	0.101510356617662
540	0.101452927331098
550	0.101394317613773
560	0.101334550316972
570	0.101273639095945
580	0.101211570909645
590	0.101148370249621
600	0.101084061541309
610	0.101033017997768
620	0.100978473598176
630	0.100920435896428
640	0.100858871117052
650	0.100793791237784
660	0.100725209925818
670	0.100653142245594
680	0.100577605031624
690	0.100498612748316
700	0.100416142702095
710	0.10033021642505
720	0.10024085708375
730	0.100148108466656
740	0.100052000940612
750	0.099952548445327
760	0.099849747673774
770	0.0997436291265211
780	0.0996342249813466
790	0.0995215685358406
800	0.0994056946517081
810	0.0992866125284072
820	0.0991643411781781
830	0.0990389201294529
840	0.0989103897618985
850	0.0987787920841798
860	0.0986441702223148
870	0.0985065355285173
880	0.098365937172938
890	0.0982224219322616
900	0.098076037731928
910	0.0979268335580203
920	0.0977748507228971
930	0.0976201050515636
940	0.097462649260293
950	0.097302537115711
960	0.0971398233451892
970	0.0969745634354905
980	0.0968067976166677
990	0.0966365581132679
1000	0.0964639038118581
1010	0.0962888942324734
1020	0.0961115896238182
1030	0.0959320508777033
1040	0.0957503226912897
1050	0.095566443790913
1060	0.0953804779187713
1070	0.0951924892144015
1080	0.0950025423425318
1090	0.0948107023987122
1100	0.0946170273933555
1110	0.0944215528028448
1120	0.0942243456899476
1130	0.094025473399663
1140	0.0938250038219474
1150	0.0936230048562556
1160	0.0934195447406743
1170	0.093214670887852
1180	0.0930084388164342
1190	0.092800917820159
1200	0.0925921773556938
1210	0.0923822867312025
1220	0.0921713155584303
1230	0.0919593330511003
1240	0.0917463935939772
1250	0.0915325497667239
1260	0.0913178715196357
1270	0.0911024282309881
1280	0.0908862892752193
1290	0.0906695236124703
1300	0.0904521999537864
1310	0.0902343865302772
1320	0.0900161384996403
1330	0.0897975100132911
1340	0.0895785805616006
1350	0.0893594254362998
1360	0.089140112114691
1370	0.0889207076000873
1380	0.0887012782537151
1390	0.0884818897949128
1400	0.0882626073026053
1410	0.0880434945514238
1420	0.0878245967923236
1430	0.0876059776606938
1440	0.0873876999855263
1450	0.0871698257954407
1460	0.0869524172348497
1470	0.0867355619801202
1480	0.0865193200105817
1490	0.0863037507296849
1500	0.0860889123334645
1510	0.0858748624568022
1520	0.0856616575457676
1530	0.0854493532425002
1540	0.0852379987871647
1550	0.085027636331256
1560	0.0848183445330213
1570	0.0846101867032711
1580	0.0844032146496508
1590	0.0841974794390523
1600	0.0839930308646157
1610	0.0837899174844128
1620	0.0835881869436601
1630	0.0833878858905862
1640	0.0831890911117399
1650	0.0829918549527484
1660	0.0827962212598312
1670	0.082602232131912
1680	0.0824099293776161
1690	0.0822193532007442
1700	0.0820305424167007
1710	0.0818435659886705
1720	0.0816584709758921
1730	0.0814752937662686
1740	0.081294069344362
1750	0.0811148311293414
1760	0.080937612223937
1770	0.0807624528765254
1780	0.0805894196369461
1790	0.0804185412263409
1800	0.0802498461345868
1810	0.0800833617657675
1820	0.0799191138754366
1830	0.0797571284229879
1840	0.0795974730681594
1850	0.0794401714531065
1860	0.079285244267195
1870	0.0791327125642076
1880	0.078982596053782
1890	0.0788349165213533
1900	0.0786897344019989
1910	0.078547065940565
1920	0.078406926217409
1930	0.078269329693803
1940	0.0781342896292163
1950	0.0780018315986804
1960	0.0778719991243473
1970	0.07774480231819
1980	0.0776202500188507
1990	0.0774983511918228
2000	0.077379112598387
2010	0.0772625674980321
2020	0.0771487400701666
2030	0.0770376345135532
2040	0.076929254273001
2050	0.0768236015913982
2060	0.0767206645803249
2070	0.0766204846615479
2080	0.0765230651360676
2090	0.0764284041621506
2100	0.0763364991597508
2110	0.0762473469418273
2120	0.0761609521160957
2130	0.0760773452266453
2140	0.0759965201483041
2150	0.0759184700308687
2160	0.0758431873265468
2170	0.075770663815602
2180	0.0757009068920418
2190	0.0756339319686153
2200	0.0755697282483482
2210	0.0755082810112422
2220	0.0754495662312965
2230	0.0753935709573774
2240	0.0753402987806848
2250	0.0752897589166474
2260	0.0752419358294497
2270	0.0751968134937346
2280	0.0751543753680873
2290	0.0751146043013107
2300	0.0750774902615998
2310	0.0750430456550733
2320	0.0750112510743468
2330	0.074982086586706
2340	0.0749555267671603
2350	0.0749315368098658
2360	0.0749100951604124
2370	0.0748912006607495
2380	0.0748748438279327
2390	0.0748610009945301
2400	0.0748496479621496
2410	0.0748407601804605
2420	0.0748343126783333
2430	0.0748302800014776
2440	0.0748286512577949
2450	0.0748294167368155
2460	0.0748325473747798
2470	0.0748379971978134
2480	0.0748457379349617
